CountyCode,Mean_Target
0.0,1.4770642201834863
1.0,0.7142857142857143
3.0,0.6753246753246753
5.0,0.358974358974359
7.0,0.631578947368421
9.0,0.40476190476190477
11.0,1.380952380952381
13.0,0.35714285714285715
15.0,0.4
17.0,0.6031746031746031
19.0,0.4
21.0,0.5454545454545454
23.0,0.7586206896551724
25.0,0.6
27.0,0.4
29.0,0.6190476190476191
31.0,1.44
33.0,0.6
35.0,0.4857142857142857
37.0,0.18181818181818182
39.0,0.26666666666666666
41.0,1.037037037037037
43.0,1.2
45.0,0.36363636363636365
47.0,0.0
49.0,1.2307692307692308
53.0,0.8125
55.0,0.0
57.0,1.5
59.0,2.0
61.0,0.2727272727272727
63.0,0.8
65.0,0.6666666666666666
67.0,1.0
69.0,0.5
71.0,1.6614173228346456
73.0,1.0
75.0,2.5
77.0,0.9
79.0,0.4666666666666667
81.0,2.221311475409836
83.0,0.0
85.0,0.2
87.0,0.6666666666666666
89.0,0.0
91.0,0.1111111111111111
93.0,0.875
95.0,0.25
97.0,1.1395348837209303
99.0,0.5
101.0,0.25
103.0,0.3333333333333333
105.0,0.0
107.0,0.0
109.0,1.5
111.0,0.0
113.0,0.25
115.0,0.0
117.0,1.0
119.0,1.1
121.0,1.2
123.0,0.3333333333333333
125.0,0.625
127.0,0.0
129.0,0.0
131.0,0.0
133.0,0.45454545454545453
135.0,0.0
137.0,3.0
139.0,1.125
141.0,0.3333333333333333
143.0,0.0
145.0,0.25
147.0,0.75
149.0,0.0
151.0,1.0
153.0,0.0
155.0,1.0
157.0,0.0
161.0,2.0
163.0,0.96875
165.0,0.5
167.0,1.0
169.0,0.0
173.0,0.0
181.0,0.0
187.0,1.2
193.0,1.0
215.0,2.1379310344827585
510.0,1.2307692307692308
570.0,0.0
630.0,1.0
650.0,1.0
660.0,1.0
670.0,2.0
680.0,3.0
683.0,0.0
690.0,2.0
730.0,0.0
735.0,0.0
750.0,0.0
775.0,1.0
790.0,1.0
820.0,2.0
830.0,0.0
840.0,0.0
